Suburb Name,Alternative Lodging,Hotels & Motels,Other,Outdoor & Camping,Vacation Rentals,Rating,Review_Count,Rooms,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom,5+ Bedroom,Not available,0 - 10 Reviews,11 - 30 Reviews,31 - 100 Reviews,101 - 500 Reviews,500+ Reviews
Anduramba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atkinsons Dam,0,0,0,2,0,3.85,7175,250,0,0,0,0,1,1,0,0,0,2,0
Avoca Vale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banks Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benarkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benarkin North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biarra,2,0,0,1,0,4.9,1175,950,0,0,1,0,2,0,1,2,0,0,0
Borallon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braemore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brightview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buaraba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buaraba South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullcamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caboonbah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churchable,1,0,0,0,0,0,0,150,0,0,0,0,1,0,1,0,0,0,0
Clarendon,0,0,0,0,1,5,25,25,1,0,0,0,0,0,1,0,0,0,0
Coal Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colinton,0,0,0,2,0,4.45,3375,0,0,0,0,0,0,2,0,0,2,0,0
Conondale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooeeimbardi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coolana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coominya,1,0,0,1,0,4.9,525,425,0,0,1,0,1,0,1,1,0,0,0
Cressbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cressbrook Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crossdale,0,0,0,1,0,4.6,1325,350,0,0,0,0,1,0,0,0,1,0,0
Dundas,0,0,0,1,0,4.2,425,75,0,0,1,0,0,0,0,1,0,0,0
East Nanango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
